Project Reference,Mobility Duration,Participant Age,Sending Country Code,Receiving Country Code
2014-1-ES02-KA347-000870,3,25,IT,ES
2014-1-ES02-KA347-000870,3,28,IT,ES
2014-1-ES02-KA347-000870,3,20,IT,ES
2014-1-FR02-KA347-000936,4,19,DE,FR
2014-1-FR02-KA347-000936,4,23,DE,FR
2014-1-FR02-KA347-000936,4,23,DE,FR
2014-1-FR02-KA347-000936,4,20,DE,FR
2014-1-FR02-KA347-000936,4,21,DE,FR
2014-1-FR02-KA347-000936,4,23,DE,FR
2014-1-FR02-KA347-000936,4,21,DE,FR
2014-1-FR02-KA347-000936,4,23,HU,FR
2014-1-FR02-KA347-000936,4,18,HU,FR
2014-1-FR02-KA347-000936,4,23,HU,FR
2014-1-FR02-KA347-000936,4,21,HU,FR
2014-1-FR02-KA347-000936,4,22,IT,FR
2014-1-FR02-KA347-000936,4,18,IT,FR
2014-1-FR02-KA347-000936,4,18,IT,FR
2014-1-FR02-KA347-000936,4,23,IT,FR
2014-1-FR02-KA347-000936,4,22,IT,FR
2014-1-FR02-KA347-000936,4,22,IT,FR
2014-1-FR02-KA347-000936,4,19,IT,FR
2014-1-FR02-KA347-000936,4,19,IT,FR
2014-1-FR02-KA347-000936,4,22,IT,FR
2014-1-FR02-KA347-000936,4,20,NL,FR
2014-1-FR02-KA347-000936,4,22,NL,FR
2014-1-FR02-KA347-000936,4,20,NL,FR
2014-1-FR02-KA347-000936,4,21,NL,FR
2014-1-FR02-KA347-000936,4,22,NL,FR
2014-1-FR02-KA347-000936,4,22,NL,FR
2014-1-FR02-KA347-000936,4,21,NL,FR
2014-1-FR02-KA347-000936,4,23,NL,FR
2014-1-FR02-KA347-000936,1,20,DE,FR
2014-1-FR02-KA347-000936,1,24,DE,FR
2014-1-FR02-KA347-000936,1,25,DE,FR
2014-1-FR02-KA347-000936,1,21,DE,FR
2014-1-FR02-KA347-000936,1,23,DE,FR
2014-1-FR02-KA347-000936,1,24,DE,FR
2014-1-FR02-KA347-000936,1,22,DE,FR
2014-1-FR02-KA347-000936,1,24,HU,FR
2014-1-FR02-KA347-000936,1,18,HU,FR
2014-1-FR02-KA347-000936,1,19,HU,FR
2014-1-FR02-KA347-000936,1,24,HU,FR
2014-1-FR02-KA347-000936,1,23,HU,FR
2014-1-FR02-KA347-000936,1,18,HU,FR
2014-1-FR02-KA347-000936,1,18,HU,FR
2014-1-FR02-KA347-000936,1,24,IT,FR
2014-1-FR02-KA347-000936,1,19,IT,FR
2014-1-FR02-KA347-000936,1,19,IT,FR
2014-1-FR02-KA347-000936,1,24,IT,FR
2014-1-FR02-KA347-000936,1,18,IT,FR
2014-1-FR02-KA347-000936,1,23,IT,FR
2014-1-FR02-KA347-000936,1,23,IT,FR
2014-1-FR02-KA347-000936,1,20,IT,FR
2014-1-FR02-KA347-000936,1,20,IT,FR
2014-1-FR02-KA347-000936,1,23,IT,FR
2014-1-FR02-KA347-000936,1,18,NL,FR
2014-1-FR02-KA347-000936,1,21,NL,FR
2014-1-FR02-KA347-000936,1,23,NL,FR
2014-1-FR02-KA347-000936,1,21,NL,FR
2014-1-FR02-KA347-000936,1,22,NL,FR
2014-1-FR02-KA347-000936,1,23,NL,FR
2014-1-FR02-KA347-000936,1,23,NL,FR
2014-1-FR02-KA347-000936,1,22,NL,FR
2014-1-FR02-KA347-000936,1,24,NL,FR
2014-1-FR02-KA347-000936,4,19,HU,FR
2014-1-FR02-KA347-000936,1,20,HU,FR
2014-1-FR02-KA347-000961,4,20,DE,FR
2014-1-FR02-KA347-000961,4,18,DE,FR
2014-1-FR02-KA347-000961,4,19,ES,FR
2014-1-FR02-KA347-000961,4,21,ES,FR
2014-1-FR02-KA347-000961,4,22,ES,FR
2014-1-FR02-KA347-000961,4,24,ES,FR
2014-1-FR02-KA347-000961,4,21,ES,FR
2014-1-FR02-KA347-000961,4,23,ES,FR
2014-1-FR02-KA347-000961,4,22,ES,FR
2014-1-FR02-KA347-000961,4,19,IT,FR
2014-1-FR02-KA347-000961,4,24,IT,FR
2014-1-FR02-KA347-000961,4,25,IT,FR
2014-1-FR02-KA347-000961,4,21,IT,FR
2014-1-FR02-KA347-000961,4,22,IT,FR
2014-1-FR02-KA347-000961,4,27,IT,FR
2014-1-FR02-KA347-000961,4,23,LV,FR
2014-1-FR02-KA347-000961,4,25,LV,FR
2014-1-FR02-KA347-000961,4,26,LV,FR
2014-1-FR02-KA347-000961,4,22,LV,FR
2014-1-FR02-KA347-000961,4,24,PL,FR
2014-1-FR02-KA347-000961,4,18,PL,FR
2014-1-FR02-KA347-000961,4,19,SE,FR
2014-1-FR02-KA347-000961,4,33,SE,FR
2014-1-FR02-KA347-000961,4,18,DE,FR
2014-1-FR02-KA347-000961,4,21,ES,FR
2014-1-FR02-KA347-000961,4,23,ES,FR
2014-1-FR02-KA347-000961,4,22,ES,FR
2014-1-FR02-KA347-000961,4,22,ES,FR
2014-1-FR02-KA347-000961,4,21,IT,FR
2014-1-FR02-KA347-000961,4,18,LV,FR
2014-1-FR02-KA347-000961,4,19,LV,FR
2014-1-FR02-KA347-000961,4,18,SE,FR
2014-1-FR02-KA347-000961,4,18,SE,FR
2014-1-FR02-KA347-000961,4,18,PL,FR
2014-1-NO02-KA347-000078,4,25,DK,NO
2014-1-NO02-KA347-000078,4,22,DK,NO
2014-1-NO02-KA347-000078,4,23,DK,NO
2014-1-NO02-KA347-000078,4,24,FI,NO
2014-1-NO02-KA347-000078,4,27,FI,NO
2014-1-NO02-KA347-000078,4,30,FI,NO
2014-1-NO02-KA347-000078,4,29,FI,NO
2014-1-NO02-KA347-000078,4,20,IS,NO
2014-1-NO02-KA347-000078,4,25,IS,NO
2014-1-NO02-KA347-000078,4,25,IS,NO
2014-1-NO02-KA347-000078,4,25,IS,NO
2014-1-NO02-KA347-000078,4,28,IS,NO
2014-1-NO02-KA347-000078,4,20,UK,NO
2014-1-NO02-KA347-000078,4,24,SE,NO
2014-1-NO02-KA347-000078,4,25,SE,NO
2014-1-NO02-KA347-000078,4,19,UK,NO
2014-1-NO02-KA347-000078,4,21,UK,NO
2014-1-NO02-KA347-000078,4,24,DK,NO
2014-1-NO02-KA347-000078,4,21,SE,NO
2014-1-NO02-KA347-000091,3,18,DE,NO
2014-1-NO02-KA347-000091,3,19,DE,NO
2014-1-PT02-KA347-000449,4,29,AT,PT
2014-1-PT02-KA347-000449,4,21,BE,PT
2014-1-PT02-KA347-000449,4,25,BE,PT
2014-1-PT02-KA347-000449,4,33,BE,PT
2014-1-PT02-KA347-000449,4,21,BG,PT
2014-1-PT02-KA347-000449,4,29,BG,PT
2014-1-PT02-KA347-000449,4,23,CY,PT
2014-1-PT02-KA347-000449,4,33,CY,PT
2014-1-PT02-KA347-000449,4,27,DE,PT
2014-1-PT02-KA347-000449,4,24,DK,PT
2014-1-PT02-KA347-000449,4,24,EE,PT
2014-1-PT02-KA347-000449,4,20,EE,PT
2014-1-PT02-KA347-000449,4,28,ES,PT
2014-1-PT02-KA347-000449,4,29,ES,PT
2014-1-PT02-KA347-000449,4,28,ES,PT
2014-1-PT02-KA347-000449,4,27,HR,PT
2014-1-PT02-KA347-000449,4,22,HU,PT
2014-1-PT02-KA347-000449,4,21,HU,PT
2014-1-PT02-KA347-000449,4,27,IE,PT
2014-1-PT02-KA347-000449,4,29,IT,PT
2014-1-PT02-KA347-000449,4,27,BE,PT
2014-1-PT02-KA347-000449,4,21,LT,PT
2014-1-PT02-KA347-000449,4,23,LT,PT
2014-1-PT02-KA347-000449,4,21,LV,PT
2014-1-PT02-KA347-000449,4,25,LV,PT
2014-1-PT02-KA347-000449,4,23,LV,PT
2014-1-PT02-KA347-000449,4,26,RO,PT
2014-1-PT02-KA347-000449,4,29,RO,PT
2014-1-PT02-KA347-000449,4,27,RS,PT
2014-1-PT02-KA347-000449,4,28,RS,PT
2014-1-PT02-KA347-000449,4,20,SE,PT
2014-1-PT02-KA347-000449,4,26,SI,PT
2014-1-PT02-KA347-000449,4,24,EL,PT
2014-2-BE05-KA347-000731,2,18,AT,BE
2014-2-BE05-KA347-000731,2,24,CZ,BE
2014-2-BE05-KA347-000731,2,20,DE,BE
2014-2-BE05-KA347-000731,2,22,DE,BE
2014-2-BE05-KA347-000731,2,21,EL,BE
2014-2-BE05-KA347-000731,2,21,EL,BE
2014-2-BE05-KA347-000731,2,19,ES,BE
2014-2-BE05-KA347-000731,2,19,ES,BE
2014-2-BE05-KA347-000731,2,19,FI,BE
2014-2-BE05-KA347-000731,2,19,IE,BE
2014-2-BE05-KA347-000731,2,20,IT,BE
2014-2-BE05-KA347-000731,2,23,NL,BE
2014-2-BE05-KA347-000731,2,21,NL,BE
2014-2-BE05-KA347-000731,2,21,NL,BE
2014-2-BE05-KA347-000731,2,19,SE,BE
2014-2-BE05-KA347-000731,2,20,UK,BE
2014-2-BE05-KA347-000731,2,22,UK,BE
2014-2-BE05-KA347-000731,2,23,UK,BE
2014-2-BE05-KA347-000731,4,18,TR,BE
2014-2-BE05-KA347-000731,2,19,FR,BE
2014-2-BE05-KA347-000731,2,20,UK,BE
2014-2-BE05-KA347-000731,2,22,FR,BE
2014-2-BE05-KA347-000731,2,19,NL,BE
2014-2-DE04-KA347-001271,1,25,AT,DE
2014-2-DE04-KA347-001392,1,27,NL,DE
2014-2-DE04-KA347-001392,1,28,DE,DK
2014-2-DE04-KA347-001392,1,27,DE,NL
2014-2-DE04-KA347-001392,1,28,DE,NL
2014-2-DE04-KA347-001392,1,29,NL,DE
2014-2-DE04-KA347-001500,1,25,DK,DE
2014-2-DE04-KA347-001500,4,25,DK,DE
2014-2-DE04-KA347-001500,4,21,DK,DE
2014-2-DE04-KA347-001500,4,26,DK,DE
2014-2-FR02-KA347-009100,1,31,UK,FR
2014-2-FR02-KA347-009100,3,20,UK,FR
2014-2-FR02-KA347-009100,3,21,IT,FR
2014-2-FR02-KA347-009100,3,23,UK,FR
2014-2-FR02-KA347-009100,3,18,CZ,FR
2014-2-FR02-KA347-009100,3,19,CZ,FR
2014-2-FR02-KA347-009100,3,26,CZ,FR
2014-2-FR02-KA347-009100,3,18,CZ,FR
2014-2-FR02-KA347-009100,3,18,UK,FR
2014-2-FR02-KA347-009100,3,18,IT,FR
2014-2-FR02-KA347-009100,3,20,UK,FR
2014-2-FR02-KA347-009100,3,24,UK,FR
2014-2-FR02-KA347-009100,3,19,UK,FR
2014-2-FR02-KA347-009100,3,31,IT,FR
2014-2-FR02-KA347-009279,4,20,DE,FR
2014-2-FR02-KA347-009279,4,20,DE,FR
2014-2-FR02-KA347-009279,4,21,DE,FR
2014-2-FR02-KA347-009279,4,23,DE,FR
2014-2-FR02-KA347-009279,4,20,HU,FR
2014-2-FR02-KA347-009279,4,22,HU,FR
2014-2-FR02-KA347-009279,4,18,HU,FR
2014-2-FR02-KA347-009279,4,25,HU,FR
2014-2-FR02-KA347-009279,4,20,PL,FR
2014-2-FR02-KA347-009279,4,22,PL,FR
2014-2-FR02-KA347-009279,4,24,PL,FR
2014-2-FR02-KA347-009279,4,21,PL,FR
2014-2-FR02-KA347-009279,4,22,PL,FR
2014-2-FR02-KA347-009279,4,22,HU,FR
2014-2-FR02-KA347-009285,4,23,DE,FR
2014-2-FR02-KA347-009286,3,19,AT,FR
2014-2-FR02-KA347-009286,3,20,AT,FR
2014-2-FR02-KA347-009286,3,25,DE,FR
2014-2-FR02-KA347-009286,3,28,DE,FR
2014-2-FR02-KA347-009286,3,20,DE,FR
2014-2-FR02-KA347-009286,3,22,DE,FR
2014-2-FR02-KA347-009286,3,22,IT,FR
2014-2-FR02-KA347-009286,3,21,NL,FR
2014-2-FR02-KA347-009286,3,20,PT,FR
2014-2-FR02-KA347-009286,3,18,DE,FR
2014-2-FR02-KA347-009288,1,25,PT,FR
2014-2-FR02-KA347-009288,1,25,PT,FR
2014-2-FR02-KA347-009288,1,31,HU,FR
2014-2-HR01-KA347-012471,3,30,RO,HR
2014-2-HR01-KA347-012471,3,34,RO,HR
2014-2-HR01-KA347-012471,3,18,RO,HR
2014-2-HR01-KA347-012471,3,19,RO,HR
2014-2-LT02-KA347-003820,4,18,DE,LT
2014-2-LT02-KA347-003820,4,21,DE,LT
2014-2-LT02-KA347-003820,4,18,DE,LT
2014-2-LT02-KA347-003820,4,22,DE,LT
2014-2-LT02-KA347-003820,4,28,DE,LT
2014-2-LT02-KA347-003820,4,18,EE,LT
2014-2-LT02-KA347-003820,4,18,LU,LT
2014-2-LT02-KA347-003820,4,20,LU,LT
2014-2-LT02-KA347-003820,4,20,LU,LT
2014-2-LT02-KA347-003820,4,18,LU,LT
2014-2-LT02-KA347-003820,4,20,LU,LT
2014-2-LT02-KA347-003820,4,21,LU,LT
2014-2-LT02-KA347-003820,4,23,LU,LT
2014-2-LT02-KA347-003820,4,18,NL,LT
2014-2-LT02-KA347-003820,4,18,NL,LT
2014-2-LT02-KA347-003820,4,19,NL,LT
2014-2-LT02-KA347-003820,4,20,SE,LT
2014-2-LT02-KA347-003820,4,21,SE,LT
2014-2-LT02-KA347-003820,4,18,SE,LT
2014-2-LT02-KA347-003820,4,19,SE,LT
2014-2-LT02-KA347-003820,4,24,DE,LT
2014-2-LT02-KA347-003820,4,21,SE,LT
2014-2-LU02-KA347-000107,4,21,UA,LU
2014-2-NL02-KA347-000794,3,22,AT,NL
2014-2-NL02-KA347-000794,3,28,AT,NL
2014-2-NL02-KA347-000794,3,29,AT,NL
2014-2-NL02-KA347-000794,3,26,BG,NL
2014-2-NL02-KA347-000794,3,19,DK,NL
2014-2-NL02-KA347-000794,3,20,DK,NL
2014-2-NL02-KA347-000794,3,18,DK,NL
2014-2-NL02-KA347-000794,3,26,DK,NL
2014-2-NL02-KA347-000794,3,24,EG,NL
2014-2-NL02-KA347-000794,3,26,EG,NL
2014-2-NL02-KA347-000794,3,30,EG,NL
2014-2-NL02-KA347-000794,3,32,EG,NL
2014-2-NL02-KA347-000794,3,27,JO,NL
2014-2-NL02-KA347-000794,3,29,JO,NL
2014-2-NL02-KA347-000794,3,29,LB,NL
2014-2-NL02-KA347-000794,3,22,MA,NL
2014-2-NL02-KA347-000794,3,23,MA,NL
2014-2-NL02-KA347-000794,3,29,MA,NL
2014-2-NL02-KA347-000794,3,22,NO,NL
2014-2-NL02-KA347-000794,3,20,NO,NL
2014-2-NL02-KA347-000794,3,22,NO,NL
2014-2-NL02-KA347-000794,3,20,SE,NL
2014-2-NL02-KA347-000794,3,22,SE,NL
2014-2-NL02-KA347-000794,3,22,TN,NL
2014-2-NL02-KA347-000794,3,28,TN,NL
2014-2-NL02-KA347-000794,3,31,TN,NL
2014-2-NL02-KA347-000794,3,20,UK,NL
2014-2-NL02-KA347-000794,3,25,UK,NL
2014-2-NL02-KA347-000794,3,28,UK,NL
2014-2-SE02-KA347-001090,2,18,DE,SE
2014-2-SE02-KA347-001090,2,18,DK,SE
2014-2-SE02-KA347-001090,2,18,DK,SE
2014-2-SE02-KA347-001090,2,33,PL,SE
2014-2-SE02-KA347-001090,2,18,PL,SE
2014-2-SE02-KA347-001099,3,30,EG,SE
2014-2-SE02-KA347-001099,3,30,TN,SE
2014-2-SE02-KA347-001099,3,35,TN,SE
2014-2-SE02-KA347-001099,3,28,UA,SE
2014-2-SE02-KA347-001099,3,31,FR,SE
2014-2-SE02-KA347-001099,3,32,EG,SE
2014-2-SE02-KA347-001099,3,29,EG,SE
2014-2-SE02-KA347-001099,3,34,EG,SE
2014-2-SE02-KA347-001099,3,35,EG,SE
2014-2-SE02-KA347-001099,3,35,FR,SE
2014-2-SE02-KA347-001099,3,32,IT,SE
2014-2-SE02-KA347-001099,3,28,FR,SE
2014-2-SE02-KA347-001099,3,30,FR,SE
2014-2-SE02-KA347-001099,3,31,TN,SE
2014-2-SE02-KA347-001099,3,29,UA,SE
2014-2-SE02-KA347-001099,3,30,UA,SE
2014-2-SE02-KA347-001099,3,32,UA,SE
2014-2-SI02-KA347-000768,2,23,HR,SI
2014-2-SI02-KA347-000768,2,24,HR,SI
2014-2-SI02-KA347-000768,2,25,HR,SI
2014-2-SI02-KA347-000768,2,27,HR,SI
2014-2-SI02-KA347-000768,2,27,HR,SI
2014-2-SI02-KA347-000806,3,22,AT,SI
2014-2-SI02-KA347-000806,3,23,AT,SI
2014-2-SI02-KA347-000806,3,19,AT,SI
2014-2-SI02-KA347-000806,3,21,AT,SI
2014-2-SI02-KA347-000806,3,22,AT,SI
2014-2-SI02-KA347-000806,3,23,AT,SI
2014-2-SI02-KA347-000806,3,20,BE,SI
2014-2-SI02-KA347-000806,3,18,BE,SI
2014-2-SI02-KA347-000806,3,22,BE,SI
2014-2-SI02-KA347-000806,3,24,DE,SI
2014-2-SI02-KA347-000806,3,27,DE,SI
2014-2-SI02-KA347-000806,3,18,HR,SI
2014-2-SI02-KA347-000806,3,18,LT,SI
2014-2-SI02-KA347-000806,3,19,LT,SI
2014-2-SI02-KA347-000806,3,20,LT,SI
2014-2-SI02-KA347-000806,3,21,LT,SI
2014-2-SI02-KA347-000806,3,18,RS,SI
2014-2-SI02-KA347-000806,3,21,RS,SI
2014-2-SI02-KA347-000806,3,18,UA,SI
2014-2-SI02-KA347-000806,3,20,UA,SI
2014-2-SI02-KA347-000806,3,19,UA,SI
2014-2-SI02-KA347-000806,3,18,BE,SI
2014-2-SI02-KA347-000806,3,18,HR,SI
2014-2-SI02-KA347-000806,3,21,HR,SI
2014-2-SI02-KA347-000806,3,19,RS,SI
2014-2-SI02-KA347-000806,3,20,UA,SI
2014-2-SI02-KA347-000806,3,19,LT,SI
2014-2-SI02-KA347-000806,3,19,UA,SI
2014-2-SI02-KA347-000806,3,18,RS,SI
2014-2-TR01-KA347-013875,2,18,ES,TR
2014-2-TR01-KA347-013875,2,18,SE,TR
2014-2-TR01-KA347-013875,2,18,SE,TR
2014-2-TR01-KA347-013875,2,19,SE,TR
2014-2-TR01-KA347-013875,2,19,UA,TR
2014-2-TR01-KA347-013875,2,22,UA,TR
2014-2-TR01-KA347-013875,2,18,UA,TR
2014-2-TR01-KA347-013875,2,22,UA,TR
2014-2-TR01-KA347-013875,2,18,UA,TR
2014-2-TR01-KA347-013875,2,19,UK,TR
2014-2-TR01-KA347-013875,2,22,UK,TR
2014-2-TR01-KA347-013875,2,18,UK,TR
2014-2-UK01-KA347-012050,4,23,DE,UK
2014-2-UK01-KA347-012050,4,20,AM,UK
2014-2-UK01-KA347-012050,4,19,AT,UK
2014-2-UK01-KA347-012050,4,18,AT,UK
2014-2-UK01-KA347-012050,4,20,AT,UK
2014-2-UK01-KA347-012050,4,18,BE,UK
2014-2-UK01-KA347-012050,4,30,BE,UK
2014-2-UK01-KA347-012050,4,26,DE,UK
2014-2-UK01-KA347-012050,4,18,CY,UK
2014-2-UK01-KA347-012050,4,32,CY,UK
2014-2-UK01-KA347-012050,4,25,DE,UK
2014-2-UK01-KA347-012050,4,18,DE,UK
2014-2-UK01-KA347-012050,4,18,DE,UK
2014-2-UK01-KA347-012050,4,18,DE,UK
2014-2-UK01-KA347-012050,4,19,DE,UK
2014-2-UK01-KA347-012050,4,23,DE,UK
2014-2-UK01-KA347-012050,4,18,EE,UK
2014-2-UK01-KA347-012050,4,24,DE,UK
2014-2-UK01-KA347-012050,4,27,EE,UK
2014-2-UK01-KA347-012050,4,31,EL,UK
2014-2-UK01-KA347-012050,4,24,DE,UK
2014-2-UK01-KA347-012050,4,19,FI,UK
2014-2-UK01-KA347-012050,4,18,FI,UK
2014-2-UK01-KA347-012050,4,20,FI,UK
2014-2-UK01-KA347-012050,4,19,FR,UK
2014-2-UK01-KA347-012050,4,24,ES,UK
2014-2-UK01-KA347-012050,4,22,PL,UK
2014-2-UK01-KA347-012050,4,20,GE,UK
2014-2-UK01-KA347-012050,4,20,GE,UK
2014-2-UK01-KA347-012050,4,23,HR,UK
2014-2-UK01-KA347-012050,4,19,IE,UK
2014-2-UK01-KA347-012050,4,21,IE,UK
2014-2-UK01-KA347-012050,4,18,IE,UK
2014-2-UK01-KA347-012050,4,21,IE,UK
2014-2-UK01-KA347-012050,4,23,IE,UK
2014-2-UK01-KA347-012050,4,18,IT,UK
2014-2-UK01-KA347-012050,4,19,IT,UK
2014-2-UK01-KA347-012050,4,18,IT,UK
2014-2-UK01-KA347-012050,4,18,LV,UK
2014-2-UK01-KA347-012050,4,19,LV,UK
2014-2-UK01-KA347-012050,4,19,NL,UK
2014-2-UK01-KA347-012050,4,18,NO,UK
2014-2-UK01-KA347-012050,4,19,NO,UK
2014-2-UK01-KA347-012050,4,18,PL,UK
2014-2-UK01-KA347-012050,4,19,PL,UK
2014-2-UK01-KA347-012050,4,18,RO,UK
2014-2-UK01-KA347-012050,4,19,NL,UK
2014-2-UK01-KA347-012050,4,20,RU,UK
2014-2-UK01-KA347-012050,4,21,RU,UK
2014-2-UK01-KA347-012050,4,28,RU,UK
2014-2-UK01-KA347-012050,4,18,SE,UK
2014-2-UK01-KA347-012050,4,18,SE,UK
2014-2-UK01-KA347-012050,4,18,SE,UK
2014-2-UK01-KA347-012050,4,20,SE,UK
2014-2-UK01-KA347-012050,4,24,TR,UK
2014-2-UK01-KA347-012050,4,19,TR,UK
2014-2-UK01-KA347-012050,4,18,LV,UK
2014-2-UK01-KA347-012050,4,18,RO,UK
2015-1-AT02-KA347-001190,3,35,EL,AT
2015-1-AT02-KA347-001190,3,19,EL,AT
2015-1-AT02-KA347-001190,3,20,EL,AT
2015-1-AT02-KA347-001190,3,21,EL,AT
2015-1-AT02-KA347-001190,3,30,EL,AT
2015-1-AT02-KA347-001190,3,18,EL,AT
2015-1-AT02-KA347-001190,3,19,EL,AT
2015-1-AT02-KA347-001190,3,20,EL,AT
2015-1-AT02-KA347-001190,3,21,EL,AT
2015-1-AT02-KA347-001190,3,33,ES,AT
2015-1-AT02-KA347-001190,3,22,ES,AT
2015-1-AT02-KA347-001190,3,23,ES,AT
2015-1-AT02-KA347-001190,3,23,ES,AT
2015-1-AT02-KA347-001190,3,29,IT,AT
2015-1-AT02-KA347-001190,3,25,IT,AT
2015-1-AT02-KA347-001190,3,22,IT,AT
2015-1-AT02-KA347-001190,3,34,IT,AT
2015-1-AT02-KA347-001190,3,23,IT,AT
2015-1-AT02-KA347-001190,3,19,ES,AT
2015-1-AT02-KA347-001190,3,25,ES,AT
2015-1-AT02-KA347-001190,3,20,IT,AT
2015-1-AT02-KA347-001190,3,29,IT,AT
2015-1-BE04-KA347-001584,4,21,HR,BE
2015-1-BE04-KA347-001584,4,23,HR,BE
2015-1-BE04-KA347-001584,4,27,HR,BE
2015-1-BE04-KA347-001584,4,28,HR,BE
2015-1-BE04-KA347-001584,4,30,HR,BE
2015-1-BE04-KA347-001584,4,22,HR,BE
2015-1-BE04-KA347-001584,4,27,HR,BE
2015-1-BE04-KA347-001584,4,25,HR,BE
2015-1-BE04-KA347-001584,4,24,HR,BE
2015-1-BE05-KA347-001608,3,25,AT,BE
2015-1-BE05-KA347-001608,3,20,CZ,BE
2015-1-BE05-KA347-001608,3,24,DE,BE
2015-1-BE05-KA347-001608,3,23,DK,BE
2015-1-BE05-KA347-001608,3,21,EE,BE
2015-1-BE05-KA347-001608,3,24,EE,BE
2015-1-BE05-KA347-001608,3,29,EL,BE
2015-1-BE05-KA347-001608,3,31,EL,BE
2015-1-BE05-KA347-001608,3,29,ES,BE
2015-1-BE05-KA347-001608,3,27,FI,BE
2015-1-BE05-KA347-001608,3,22,FR,BE
2015-1-BE05-KA347-001608,3,29,HR,BE
2015-1-BE05-KA347-001608,3,20,HU,BE
2015-1-BE05-KA347-001608,3,23,HU,BE
2015-1-BE05-KA347-001608,3,23,LT,BE
2015-1-BE05-KA347-001608,3,24,LV,BE
2015-1-BE05-KA347-001608,3,23,LU,BE
2015-1-BE05-KA347-001608,3,21,ME,BE
2015-1-BE05-KA347-001608,3,29,MK,BE
2015-1-BE05-KA347-001608,3,23,NL,BE
2015-1-BE05-KA347-001608,3,24,NL,BE
2015-1-BE05-KA347-001608,3,27,NO,BE
2015-1-BE05-KA347-001608,3,24,PT,BE
2015-1-BE05-KA347-001608,3,21,RS,BE
2015-1-BE05-KA347-001608,3,23,RU,BE
2015-1-BE05-KA347-001608,3,20,SE,BE
2015-1-BE05-KA347-001608,3,24,SI,BE
2015-1-BE05-KA347-001608,3,19,SK,BE
2015-1-BE05-KA347-001608,3,21,UA,BE
2015-1-CZ01-KA347-012703,2,25,SK,CZ
2015-1-CZ01-KA347-012703,2,23,SK,CZ
2015-1-CZ01-KA347-012703,2,28,SK,CZ
2015-1-CZ01-KA347-012703,2,28,CZ,SK
2015-1-CZ01-KA347-012703,3,21,CZ,SK
2015-1-CZ01-KA347-012703,3,23,CZ,SK
2015-1-CZ01-KA347-012703,3,27,CZ,SK
2015-1-CZ01-KA347-012703,3,28,CZ,SK
2015-1-CZ01-KA347-012703,3,29,CZ,SK
2015-1-CZ01-KA347-012703,3,23,CZ,SK
2015-1-CZ01-KA347-012703,3,23,CZ,SK
2015-1-CZ01-KA347-012703,3,24,CZ,SK
2015-1-CZ01-KA347-012703,3,28,CZ,SK
2015-1-CZ01-KA347-012703,3,19,CZ,SK
2015-1-CZ01-KA347-012703,3,19,CZ,SK
2015-1-CZ01-KA347-012703,3,21,CZ,SK
2015-1-CZ01-KA347-012703,3,24,CZ,SK
2015-1-CZ01-KA347-012703,3,25,CZ,SK
